"Endocardial.Fibroelastosis","Bradycardia","Kidney.Diseases..Chronic..Stage.5","Anemia..Aplastic","Lipoproteins..high"
-0.80905205,-1.0676425,-0.13565369,0.007091606,-0.4446183
0.10699554,-0.16542327,-0.06280649,-0.23856947,0.032894634
-0.03500709,-0.025998691,0.103013255,-0.10170278,-0.13697673
-0.1399825,-0.14184113,-0.081010744,-0.38749784,-0.14898512
0.16261001,0.5151196,0.34475332,0.272196,0.25753957
0.6442086,0.78023374,0.45308095,0.30183762,0.46292895
-0.02684482,0.48530054,0.15052216,-0.08024764,0.07884985
-0.10935186,0.38851097,-0.09175867,-0.046819907,-0.10827293
0.0013806261,-0.3117143,-0.20278206,-0.09081305,-0.028774384
0.20120552,0.32011914,0.028742064,0.3787579,0.13737398
0.132177,0.46060923,0.20202343,0.016671427,0.13657482
-0.277115,-0.5136799,-0.33075255,-0.2809273,-0.27411947
-0.3512291,-0.39426482,-0.4505581,-0.46218327,-0.3939794
-0.51830167,0.10239825,-0.22260666,-0.19729832,-0.17732391
-0.3503518,-0.59585595,-0.3524337,-0.4227686,-0.6299157
0.40036657,0.574335,0.5915291,0.663134,0.49845225
-0.19689862,-0.31543463,0.10532721,0.21083908,-0.06278998
0.43497777,0.5453117,0.23074885,0.3587911,0.43694216
-0.23732536,0.7360375,0.33947933,0.29630733,0.35606974
-0.011711609,-0.32248533,0.07324571,-0.10331957,-0.19053915
0.043750174,-0.31794527,-0.38682547,-0.47379184,-0.34240943
0.36187083,0.6416275,0.30407828,0.088344544,0.3639179
0.12977356,0.008763411,-0.117261924,-0.16735388,-0.27508962
-0.34803727,-0.39969787,-0.15180628,-0.32997268,-0.24007556
-0.052832782,0.0040962757,0.085102975,0.23720461,0.08731944
0.17726752,-0.6558405,-0.13759203,-0.31024265,-0.31660002
-0.039684825,-0.4340081,0.05333038,0.2681194,0.026354985
-0.6206956,-0.7003774,-0.5831444,-0.5674762,-0.6068991
-0.15572082,0.08597259,-0.03983829,-0.28170407,-0.0051543936
-0.06469383,-0.21097112,-0.24403839,-0.21366942,-0.2453771
0.7081939,0.8380536,0.0917862,0.1180233,0.14615545
-0.25393933,-0.3730611,-0.15119092,-0.13071452,-0.12755153
0.15666628,-0.03201224,0.3749451,0.58153653,0.4308354
0.3201391,0.56186974,0.24749486,0.41146088,0.47547704
-0.0617906,-0.06897252,0.13254777,0.35136014,0.2282662
-0.07160025,-0.2104795,-0.0765449,-0.16191146,-0.041391417
-0.13550583,-0.14103648,-0.18820605,-0.033074435,-0.18273437
-0.26661715,0.024230609,0.008700225,-0.05300151,0.050679423
0.41827977,-0.2230663,0.12960373,0.059505887,0.113420546
-0.27740073,0.07799784,0.086822964,-0.13950232,-0.025912188
0.08656733,-0.32087567,-0.12445754,0.062126033,0.1273514
-0.31687427,0.12211532,-0.06387148,0.015469126,-0.058273755
0.084103025,0.19880866,0.059607178,-0.26111293,0.054021493
-0.41561452,-0.49013498,0.0478944,-0.17546912,0.029382754
-0.16688995,0.20981404,-0.05371471,-0.38945195,-0.16823924
0.012662865,0.26275322,0.4795021,0.7401031,0.55762285
-0.21371977,0.4512355,-0.019853134,-0.03865198,-0.047723692
0.37005103,-0.026437521,-0.030476812,0.08981401,-0.27630904
-0.018808417,-0.20458786,0.11486731,0.10621683,0.099024415
0.02886565,-0.25586918,0.3250557,0.13057776,0.1598919
-0.112295024,-0.35387433,-0.33919725,-0.6674192,-0.37662664
0.028387278,-0.18292698,-0.06774373,-0.12196458,-0.11145887
-0.24568465,5.670083e-05,0.038832672,0.032211073,0.06588502
0.02579814,0.600177,0.5617207,0.413805,0.5382546
-0.3606698,-0.44962707,-0.3192585,-0.57071114,-0.29652998
-0.30037463,-0.26031086,0.07276101,-0.26844004,-0.029126627
-0.28403383,-0.3184926,-0.18699268,0.11829305,-0.06743753
0.46083364,0.2831769,0.2058279,0.011566244,0.20833611
0.14654243,0.10404245,0.124158844,-0.03870914,0.1116164
-0.12390503,-0.58181775,-0.18170205,-0.28526133,-0.067481965
0.14585866,0.23716584,0.13762847,0.49358565,0.22620054
0.1975293,0.35768503,0.46667838,0.29499584,0.28757194
0.08378735,-0.4168239,-0.2716659,0.019779775,-0.3542105
-0.30942088,-0.52130157,-0.092911795,0.25574574,-0.11148988
0.36055127,0.2973536,0.16511455,0.006543318,0.08736614
0.07857931,-0.17718348,-0.25802475,-0.12649828,-0.10313955
-0.2675681,-0.3864973,-0.10916583,-0.20101607,0.008304714
-0.40694988,0.39042413,0.19042268,0.2972279,-0.086780965
0.21499161,0.007126957,0.05325996,-0.1620208,0.17171986
0.04750511,0.113689095,0.0322862,-0.116184734,-0.07326634
-0.38804752,0.35662603,-0.18912628,-0.24357574,-0.24144945
-0.071559176,-0.0918083,-0.10332342,-0.14676483,-0.1934161
-0.3037511,0.10045254,-0.019228378,-0.18894711,-0.11700196
-0.30613008,0.31075308,0.1323503,0.11336313,0.081881024
0.5149657,-0.06586981,0.15412757,0.337892,0.27641112
0.29381102,0.101774335,0.06855178,0.29955244,0.13502945
0.104804665,0.061977386,0.096735686,0.2708042,0.093949206
-0.008437045,-0.31004927,-0.2069953,-0.13833801,-0.33496678
-0.3588151,0.41084418,0.12228237,0.113512516,0.22886242
-0.6111703,-0.6247644,-0.3973937,-0.57736343,-0.33443013
-0.13075778,-0.60300106,-0.12858663,0.265338,-0.1507044
0.20559895,0.15128955,0.25775307,0.17602909,0.2978275
0.24893129,0.23022689,0.07469432,0.24834728,0.41478908
0.27164128,0.20973477,0.3340571,0.17181554,0.36490506
-0.48146826,0.086441934,0.043249205,0.15661645,0.099566355
-0.03156345,0.14786348,-0.12418272,0.24235088,-0.046070278
-0.29085428,-0.4403202,-0.43120295,-0.43718764,-0.47919434
-0.33526105,-0.30400556,-0.19438411,-0.0867949,-0.27218243
0.5920773,0.16686082,0.3850205,0.52834415,0.24436033
-0.17405766,-0.71339804,-0.14093208,-0.25629434,-0.4091395
-0.52348655,-0.12300759,-0.10777179,-0.14978634,-0.3457883
0.40680012,0.43848,0.2340447,0.23662975,0.40977058
-0.055274233,0.036860816,-0.13251105,-0.0030005164,0.03549739
-0.037058983,0.12386619,0.19506904,0.34016156,0.14877446
0.22829318,0.6143487,0.18048464,0.20733318,0.22135767
0.50445044,0.15476747,0.20464738,0.038997486,0.0071267
0.18475007,0.52044356,0.1489279,0.11043573,0.48550272
-0.02014393,-0.22927037,-0.03878324,-0.018804021,-0.29642472
-0.12305551,-0.4575241,-0.009991589,-0.49068445,-0.24759045
0.40685418,0.8286208,0.47568002,0.43618757,0.89939594
-0.4512982,-0.32466215,-0.5664612,-0.6659107,-0.2594131
0.74460495,0.7886626,0.4915833,0.71887374,0.5637028
-0.3327019,0.04619894,0.0433091,-0.37442863,-0.109300405
-0.2551078,-0.74595624,-0.28032112,-0.3132997,-0.4046442
0.18144168,0.68661404,0.23987815,0.29116836,0.33393037
-0.26375052,-0.20119414,-0.19452189,-0.10072743,-0.11969481
-0.67096555,0.07321008,-0.10893434,0.16519433,-0.18333578
0.17176048,0.4172473,0.11544404,0.23169112,0.15537605
0.057588153,0.3397577,-0.12819852,-0.34320855,-0.15795073
0.40404147,0.5798826,0.3504803,0.32796368,0.43503326
0.1414329,-0.2145177,0.16195717,0.1418643,0.23437448
-0.6393839,-0.6629797,-0.27339122,-0.14205194,-0.4639625
0.16427241,0.06803278,0.05797307,-0.11404579,0.02402158
-0.9236312,-0.47358546,-0.17600287,-0.117422424,-0.29429102
0.6901783,0.6887343,0.3496505,0.5567552,0.43600762
-0.12473753,-0.34252638,-0.23915048,-0.21086645,-0.16621074
0.44349435,0.5004253,0.09092577,0.3659124,0.19367868
-0.086093016,-0.040713284,0.20719413,0.09489366,0.33388162
-0.60333127,-0.09641175,-0.3843376,-0.22427014,-0.5277911
0.4091931,0.48073393,0.5416253,0.5033635,0.5447048
-0.5736929,-0.66792965,-0.38032544,-0.5075467,-0.49028152
-0.6632831,0.0037838374,-0.2737516,-0.5512427,-0.31628373
-0.08722992,-0.050340325,0.0064617395,0.08553382,-0.13455303
-0.25711164,0.035675973,-0.15595351,-0.111721136,0.025541836
-0.72480047,-0.8671112,-0.38544714,-0.30616927,-0.60350305
0.2236408,0.12824015,-0.29357585,-0.5323851,-0.13554868
0.35886878,0.08201849,0.14472045,0.14525628,0.033842597
-0.049233336,-0.268373,-0.17313424,-0.15288189,-0.2871665
-0.046736896,-0.04641636,-0.10627244,-0.24451499,-0.20971566
0.3099574,0.20053588,0.07853177,-0.025256917,0.15766023
-0.12964001,0.093049444,-0.0022575706,-0.17188686,-0.011393562
0.19760588,-0.044256162,0.21973673,0.29557732,0.18854979
0.25358155,-0.30531332,-0.13319622,0.29722652,-0.124234796
0.08091539,-0.43553093,0.061091613,0.31580374,0.2560851
-0.43817768,-0.5894868,-0.28354,0.16000494,-0.2309126
0.1434637,0.6375727,0.21207507,0.14171647,0.3184109
0.3137534,0.26995003,0.29041934,0.23711993,0.24285394
0.30524617,0.14627078,0.28049856,0.15380836,0.36856243
0.44643572,0.28272393,0.12408491,0.1129723,0.29222992
0.43044078,-0.46370664,-0.00097510964,0.23609652,-0.07202403
-0.5593816,-0.36810446,-0.5352467,-0.5664209,-0.6122606
-0.29418316,-0.25985506,-0.26830634,-0.5457633,-0.22217356
-0.2254926,-0.23119555,-0.117694356,-0.22408801,-0.2115404
0.18209593,-0.12603208,-0.03449356,0.11648794,0.06499977
-0.18168686,-0.49093324,-0.2851482,-0.4353438,-0.057821423
0.5019575,0.28507614,0.4254133,0.20656368,0.51621085
0.034486767,0.23064601,0.12570062,-0.11580254,0.16036499
0.58955336,0.42917907,0.47856364,0.4660583,0.39054513
0.09515345,-0.13811548,0.03158046,0.2193853,-0.043737136
0.43220764,0.5502122,0.25702152,0.62058854,0.30315077
0.3492831,0.34940723,0.23425098,0.33636963,0.26148933
0.094347835,-0.36120453,0.07289755,-0.0904839,-0.06571014
-0.15967768,-0.18831012,-0.16251199,-0.24243921,-0.1503311
0.61937296,0.044024374,0.2078317,0.07252739,-0.0105449
0.2521817,0.22696446,0.026090235,0.13220875,0.23852333
0.39447433,0.14203568,0.10200906,0.07993205,0.054449942
-0.11398828,0.009247267,-0.019504573,0.044765063,-0.15003538
-0.14108019,-0.014317066,0.05926045,0.25691155,-0.1449757
-0.44062287,0.048656303,-0.12981899,-0.2678612,-0.18614301
0.37309748,0.19551526,0.44532204,0.3151508,0.37940046
-0.12380761,0.009804408,-0.052500732,-0.034284525,-0.061096177
-0.3290817,0.12193998,-0.007465479,0.15056704,0.13550165
-0.27073607,0.4772435,0.11891417,0.002045841,0.15361474
0.10521644,0.5617667,0.16644233,0.3190617,0.23427844
0.2997336,-0.03971419,-0.0023662746,-0.06711639,-0.012383224
0.2845395,0.27427095,0.41780847,0.21207052,0.27645957
-0.34648994,-0.57310915,-0.11047481,-0.3512516,-0.07810188
0.065542854,-0.055067435,-0.1425212,-0.14136623,-0.11661531
0.06345986,-0.1924475,-0.05574415,0.07524268,-0.15991521
-0.48529643,-0.34718537,-0.17193946,-0.21607204,-0.07680411
0.43591127,0.396679,-0.05387398,-0.025844835,0.07924277
-0.18151313,-0.069521174,-0.24386713,-0.45372087,-0.35974085
0.08506926,0.53621745,0.170051,0.46194595,0.01809761
0.22005871,-0.27343413,0.096283466,-0.20160599,0.073348716
0.067302875,0.058084838,0.071469,0.18684094,0.13319412
0.2118149,-0.2571644,-0.22908854,-0.2902356,-0.24866077
-0.04342688,-0.07788292,0.006844838,0.11169089,0.3244979
0.5582754,0.9105893,0.55798453,0.4286414,0.7970098
0.21596968,0.14535008,-0.0168185,0.018126225,-0.13947295
0.16873632,0.49777701,0.08975157,0.0950298,0.15973452
-0.26605266,-0.32590264,-0.37771866,-0.504578,-0.46111816
-0.25842562,-0.09634701,-0.01283071,0.0514455,0.107333004
0.054180317,0.08707155,-0.024069613,-0.07057467,0.021900453
0.19275957,0.3175319,0.16579777,0.30229968,0.3645296
0.26126266,0.024313755,0.20660391,0.11705665,0.05213739
-0.117110945,0.21614368,0.04902525,0.17235722,-0.023081932
-0.5000707,-0.07458968,-0.4864374,-0.63891983,-0.4312272
0.22108634,-0.4461534,0.31108984,0.22887725,0.46346602
-0.45287424,-0.73207784,-0.2732762,-0.21150312,-0.3054952
-0.38826227,-0.6089812,-0.18068683,-0.14414883,-0.19536513
0.1749293,0.2761432,0.10376533,-0.11655716,0.017583257
0.12344772,-0.2681039,0.03626914,0.07666539,-0.05902469
0.7927357,0.83390975,0.122759044,0.38074905,0.0922635
-0.7678562,-0.86320084,-0.50471634,-0.42166877,-0.7504779
0.420676,0.06830061,-0.25386527,-0.0490662,-0.21229646
0.0062758145,0.18640606,0.16696844,-0.07113998,0.16713771
-0.42907763,-0.5945469,-0.36015743,-0.6411073,-0.44769937
-0.009355307,-0.28874442,-0.017066782,-0.14014436,0.025373217
0.0076764673,-0.17934765,-0.24626914,-0.2615577,-0.31877914
0.14595865,-0.24710536,0.075838074,-0.021859214,-0.03606559
