"","x1"
"1","1"
"2","0"
"3","0"
"4","0"
"5","1"
"6","1"
"7","0"
"8","1"
"9","0"
"10","0"
"11","1"
"12","0"
"13","1"
"14","1"
"15","0"
"16","0"
"17","1"
"18","0"
"19","0"
"20","0"
"21","1"
"22","0"
"23","1"
"24","0"
"25","1"
"26","1"
"27","1"
"28","0"
"29","1"
"30","1"
"31","1"
"32","1"
"33","0"
"34","0"
"35","1"
"36","1"
"37","0"
"38","0"
"39","1"
"40","1"
"41","0"
"42","0"
"43","0"
"44","0"
"45","1"
"46","0"
"47","0"
"48","1"
"49","0"
"50","1"
"51","1"
"52","1"
"53","1"
"54","0"
"55","0"
"56","1"
"57","0"
"58","1"
"59","1"
"60","0"
"61","0"
"62","0"
"63","0"
"64","1"
"65","0"
"66","1"
"67","0"
"68","1"
"69","0"
"70","0"
"71","0"
"72","1"
"73","0"
"74","1"
"75","0"
"76","1"
"77","1"
"78","1"
"79","1"
"80","1"
"81","1"
"82","1"
"83","0"
"84","0"
"85","1"
"86","1"
"87","0"
"88","1"
"89","0"
"90","1"
"91","1"
"92","1"
"93","0"
"94","1"
"95","0"
"96","1"
"97","0"
"98","1"
"99","0"
"100","0"
"101","0"
"102","0"
"103","0"
"104","1"
"105","0"
"106","0"
"107","0"
"108","1"
"109","1"
"110","1"
"111","0"
"112","1"
"113","0"
"114","1"
"115","1"
"116","1"
"117","0"
"118","0"
"119","1"
"120","1"
"121","0"
"122","1"
"123","0"
"124","1"
"125","1"
"126","1"
"127","1"
"128","0"
"129","1"
"130","1"
"131","1"
"132","1"
"133","1"
"134","0"
"135","0"
"136","0"
"137","0"
"138","1"
"139","0"
"140","1"
"141","1"
"142","1"
"143","0"
"144","1"
"145","0"
"146","1"
"147","1"
"148","1"
"149","0"
"150","1"
"151","0"
"152","1"
"153","0"
"154","0"
"155","1"
"156","0"
"157","1"
"158","0"
"159","0"
"160","1"
"161","0"
"162","0"
"163","0"
"164","0"
"165","1"
"166","1"
"167","1"
"168","0"
"169","0"
"170","0"
"171","0"
"172","1"
"173","0"
"174","0"
"175","1"
"176","0"
"177","0"
"178","1"
"179","0"
"180","0"
"181","0"
"182","1"
"183","1"
"184","0"
"185","1"
"186","0"
"187","0"
"188","0"
"189","1"
"190","1"
"191","1"
"192","0"
"193","0"
"194","0"
"195","1"
"196","0"
"197","0"
"198","1"
"199","0"
"200","0"
"201","0"
"202","0"
"203","1"
"204","1"
"205","0"
"206","0"
"207","1"
"208","0"
"209","0"
"210","0"
"211","0"
"212","0"
"213","1"
"214","1"
"215","1"
"216","1"
"217","0"
"218","0"
"219","0"
"220","0"
"221","1"
"222","0"
"223","0"
"224","0"
"225","1"
"226","1"
"227","1"
"228","1"
"229","1"
"230","0"
"231","0"
"232","1"
"233","0"
"234","0"
"235","0"
"236","0"
"237","1"
"238","0"
"239","1"
"240","0"
"241","1"
"242","0"
"243","1"
"244","0"
"245","0"
"246","0"
"247","1"
"248","0"
"249","0"
"250","0"
"251","1"
"252","1"
"253","1"
"254","1"
"255","0"
"256","0"
"257","1"
"258","1"
"259","0"
"260","1"
"261","1"
"262","1"
"263","0"
"264","0"
"265","0"
"266","1"
"267","1"
"268","1"
"269","0"
"270","1"
"271","1"
"272","1"
"273","1"
"274","1"
"275","0"
"276","0"
"277","0"
"278","0"
"279","0"
"280","0"
"281","0"
"282","1"
"283","0"
"284","1"
"285","0"
"286","1"
"287","1"
"288","1"
"289","1"
"290","0"
"291","0"
"292","0"
"293","1"
"294","1"
"295","1"
"296","0"
"297","1"
"298","1"
"299","1"
"300","0"
"301","1"
"302","0"
"303","1"
"304","0"
"305","0"
"306","1"
"307","1"
"308","0"
"309","0"
"310","0"
"311","0"
"312","1"
"313","1"
"314","0"
"315","0"
"316","0"
"317","1"
"318","1"
"319","0"
"320","0"
"321","0"
"322","1"
"323","1"
"324","0"
"325","0"
"326","0"
"327","0"
"328","1"
"329","0"
"330","0"
"331","0"
"332","1"
"333","0"
"334","0"
"335","0"
"336","1"
"337","0"
"338","0"
"339","1"
"340","1"
"341","0"
"342","1"
"343","0"
"344","1"
"345","0"
"346","1"
"347","1"
"348","1"
"349","1"
"350","1"
"351","0"
"352","0"
"353","0"
"354","0"
"355","0"
"356","0"
"357","1"
"358","0"
"359","1"
"360","0"
"361","1"
"362","1"
"363","0"
"364","0"
"365","0"
"366","1"
"367","1"
"368","0"
"369","0"
"370","1"
"371","0"
"372","0"
"373","1"
"374","0"
"375","0"
"376","1"
"377","0"
"378","0"
"379","1"
"380","0"
"381","0"
"382","0"
"383","0"
"384","1"
"385","1"
"386","0"
"387","1"
"388","0"
"389","0"
"390","0"
"391","1"
"392","0"
"393","1"
"394","1"
"395","1"
"396","0"
"397","1"
"398","0"
"399","0"
"400","0"
"401","0"
"402","0"
"403","0"
"404","1"
"405","0"
"406","1"
"407","1"
"408","1"
"409","0"
"410","0"
"411","1"
"412","1"
"413","1"
"414","0"
"415","0"
"416","0"
"417","1"
"418","1"
"419","1"
"420","1"
"421","1"
"422","0"
"423","0"
"424","0"
"425","0"
"426","0"
"427","0"
"428","0"
"429","0"
"430","0"
"431","1"
"432","1"
"433","1"
"434","1"
"435","1"
"436","1"
"437","0"
"438","1"
"439","0"
"440","1"
"441","0"
"442","0"
"443","0"
"444","1"
"445","0"
"446","1"
"447","0"
"448","1"
"449","0"
"450","0"
"451","0"
"452","0"
"453","0"
"454","0"
"455","0"
"456","0"
"457","1"
"458","0"
"459","0"
"460","1"
"461","0"
"462","1"
"463","0"
"464","1"
"465","1"
"466","1"
"467","1"
"468","0"
"469","0"
"470","0"
"471","1"
"472","0"
"473","1"
"474","1"
"475","1"
"476","0"
"477","1"
"478","1"
"479","0"
"480","1"
"481","1"
"482","0"
"483","1"
"484","0"
"485","0"
"486","1"
"487","0"
"488","0"
"489","1"
"490","0"
"491","1"
"492","0"
"493","1"
"494","0"
"495","1"
"496","1"
"497","1"
"498","0"
"499","1"
"500","1"
"501","1"
"502","1"
"503","0"
"504","0"
"505","0"
"506","1"
"507","0"
"508","1"
"509","0"
"510","0"
"511","0"
"512","1"
"513","1"
"514","1"
"515","0"
"516","1"
"517","1"
"518","0"
"519","0"
"520","0"
"521","0"
"522","0"
"523","0"
"524","0"
"525","1"
"526","0"
"527","0"
"528","1"
"529","1"
"530","0"
"531","1"
"532","0"
"533","1"
"534","1"
"535","1"
"536","0"
"537","0"
"538","0"
"539","1"
"540","0"
"541","1"
"542","1"
"543","1"
"544","1"
"545","1"
"546","0"
"547","0"
"548","1"
"549","1"
"550","0"
"551","0"
"552","1"
"553","1"
"554","1"
"555","0"
"556","1"
"557","0"
"558","1"
"559","0"
"560","1"
"561","0"
"562","1"
